total_count,station_from,station_to,average_transit_time,transit_weight
386,0-1 Av,202-Bedford Av,4.85,12.56
386,0-1 Av,82-3 Av,1,2.59
605,1-103 St,162-96 St,1.51,2.5
602,1-103 St,7-110 St,1.05,1.74
234,10-111 St,398-Ozone Park - Lefferts Blvd,1.04,4.44
232,10-111 St,6-104 St,1.12,4.83
466,100-45 St,113-53 St,1.54,3.3
433,100-45 St,93-36 St,2.59,5.98
668,101-46 St,112-52 St,1,1.5
690,101-46 St,97-40 St,1,1.45
462,102-46 St,390-Northern Blvd,1.5,3.25
475,102-46 St,439-Steinway St,1.71,3.6
105,103-47-50 Sts - Rockefeller Ctr,106-5 Av/53 St,3.11,29.62
662,103-47-50 Sts - Rockefeller Ctr,115-57 St,1.67,2.52
466,103-47-50 Sts - Rockefeller Ctr,129-7 Av,1.55,3.33
1238,103-47-50 Sts - Rockefeller Ctr,98-42 St - Bryant Pk,1.5,1.21
819,104-49 St,116-57 St - 7 Av,1.98,2.42
821,104-49 St,445-Times Sq - 42 St,1.5,1.83
733,105-5 Av,308-Grand Central - 42 St,1.39,1.9
733,105-5 Av,445-Times Sq - 42 St,1.64,2.24
110,106-5 Av/53 St,103-47-50 Sts - Rockefeller Ctr,2.54,23.09
415,106-5 Av/53 St,129-7 Av,1.79,4.31
520,106-5 Av/53 St,355-Lexington Av/53 St,1.57,3.02
757,107-5 Av/59 St,116-57 St - 7 Av,2.53,3.34
757,107-5 Av/59 St,356-Lexington Av/59 St,1.57,2.07
368,108-50 St,114-55 St,1.98,5.38
368,108-50 St,295-Fort Hamilton Pkwy,1.5,4.08
337,109-50 St,119-59 St - Columbus Circle,2.04,6.05
415,109-50 St,129-7 Av,1.63,3.93
752,109-50 St,99-42 St - Port Authority Bus Terminal,2.04,2.71
785,11-116 St,17-125 St,1.5,1.91
785,11-116 St,239-Central Park North (110 St),1,1.27
581,110-50 St,119-59 St - Columbus Circle,2.04,3.51
576,110-50 St,445-Times Sq - 42 St,1.59,2.76
602,111-51 St,118-59 St,1.5,2.49
605,111-51 St,310-Grand Central - 42 St,2.26,3.74
690,112-52 St,101-46 St,1,1.45
668,112-52 St,472-Woodside - 61 St,1.91,2.86
433,113-53 St,100-45 St,1.56,3.6
466,113-53 St,117-59 St,1.52,3.26
368,114-55 St,108-50 St,1.59,4.32
368,114-55 St,121-62 St,1.52,4.13
662,115-57 St,103-47-50 Sts - Rockefeller Ctr,1.51,2.28
662,115-57 St,357-Lexington Av/63 St,3.04,4.59
821,116-57 St - 7 Av,104-49 St,1.68,2.05
757,116-57 St - 7 Av,107-5 Av/59 St,2.53,3.34
436,116-57 St - 7 Av,357-Lexington Av/63 St,2.5,5.73
372,116-57 St - 7 Av,445-Times Sq - 42 St,2.69,7.23
433,117-59 St,113-53 St,1.59,3.67
376,117-59 St,143-8 Av,3,7.98
355,117-59 St,190-Bay Ridge Av,2.15,6.06
296,117-59 St,93-36 St,4.5,15.2
605,118-59 St,111-51 St,1.78,2.94
602,118-59 St,126-68 St - Hunter College,1.75,2.91
694,118-59 St,154-86 St,3.56,5.13
691,118-59 St,310-Grand Central - 42 St,2.67,3.86
337,119-59 St - Columbus Circle,109-50 St,1.63,4.84
576,119-59 St - Columbus Circle,110-50 St,2,3.47
581,119-59 St - Columbus Circle,124-66 St - Lincoln Center,1.5,2.58
466,119-59 St - Columbus Circle,129-7 Av,1.92,4.12
435,119-59 St - Columbus Circle,134-72 St,1.5,3.45
698,119-59 St - Columbus Circle,18-125 St,8.02,11.49
330,119-59 St - Columbus Circle,99-42 St - Port Authority Bus Terminal,2.81,8.52
435,12-116 St,18-125 St,1.62,3.72
435,12-116 St,237-Cathedral Pkwy (110 St),1.5,3.45
386,120-6 Av,142-8 Av,1.02,2.64
386,120-6 Av,449-Union Sq - 14 St,3.94,10.21
368,121-62 St,114-55 St,1.91,5.19
368,121-62 St,131-71 St,2,5.43
462,122-63 Dr - Rego Park,125-67 Av,1.96,4.24
475,122-63 Dr - Rego Park,470-Woodhaven Blvd,1.24,2.61
462,123-65 St,335-Jackson Hts - Roosevelt Av,2.99,6.47
475,123-65 St,390-Northern Blvd,1.53,3.22
576,124-66 St - Lincoln Center,119-59 St - Columbus Circle,1.5,2.6
581,124-66 St - Lincoln Center,133-72 St,1.05,1.81
475,125-67 Av,122-63 Dr - Rego Park,1.79,3.77
462,125-67 Av,292-Forest Hills - 71 Av,1.81,3.92
605,126-68 St - Hunter College,118-59 St,1.56,2.58
602,126-68 St - Hunter College,139-77 St,1.75,2.91
668,127-69 St,135-74 St - Broadway,1.53,2.29
690,127-69 St,472-Woodside - 61 St,2.03,2.94
2,128-7 Av,205-Bergen St,4,2000
2,128-7 Av,245-Church Av,4,2000
809,128-7 Av,33-15 St - Prospect Park,1.5,1.85
807,128-7 Av,96-4 Av,1.95,2.42
466,129-7 Av,103-47-50 Sts - Rockefeller Ctr,1.64,3.52
415,129-7 Av,106-5 Av/53 St,1.14,2.75
415,129-7 Av,109-50 St,3.77,9.08
466,129-7 Av,119-59 St - Columbus Circle,2.1,4.51
602,13-116 St,16-125 St,1.6,2.66
605,13-116 St,7-110 St,1.47,2.43
527,130-7 Av,174-Atlantic Av - Barclays Ctr,2.13,4.04
528,130-7 Av,414-Prospect Park,4.58,8.67
368,131-71 St,121-62 St,2,5.43
368,131-71 St,140-79 St,1.91,5.19
693,132-72 St,150-86 St,2.41,3.48
693,132-72 St,357-Lexington Av/63 St,2.02,2.91
576,133-72 St,124-66 St - Lincoln Center,1.5,2.6
581,133-72 St,141-79 St,1.8,3.1
727,133-72 St,161-96 St,2.95,4.06
732,133-72 St,445-Times Sq - 42 St,4.45,6.08
435,134-72 St,119-59 St - Columbus Circle,1.74,4
435,134-72 St,146-81 St - Museum of Natural History,1.5,3.45
690,135-74 St - Broadway,127-69 St,1.5,2.17
668,135-74 St - Broadway,147-82 St - Jackson Hts,1,1.5
686,136-75 Av,292-Forest Hills - 71 Av,1.96,2.86
686,136-75 Av,344-Kew Gardens - Union Tpke,1.5,2.19
349,137-75 St,148-85 St - Forest Pkwy,1.5,4.3
6,137-75 St,261-Crescent St,2.5,416.67
344,137-75 St,264-Cypress Hills,1.16,3.37
6,137-75 St,469-Woodhaven Blvd,3,500
355,138-77 St,151-86 St,3.81,10.73
353,138-77 St,190-Bay Ridge Av,1.5,4.25
605,139-77 St,126-68 St - Hunter College,1.98,3.27
602,139-77 St,154-86 St,1.69,2.81
523,14-116 St - Columbia University,19-125 St,2.29,4.38
523,14-116 St - Columbia University,236-Cathedral Pkwy,1,1.91
368,140-79 St,131-71 St,1.52,4.13
368,140-79 St,50-18 Av,1.5,4.08
576,141-79 St,133-72 St,1.5,2.6
581,141-79 St,152-86 St,1.21,2.08
386,142-8 Av,120-6 Av,1.5,3.89
376,143-8 Av,117-59 St,3,7.98
376,143-8 Av,293-Fort Hamilton Pkwy,1.5,3.99
710,144-8 St - NYU,27-14 St - Union Sq,1.5,2.11
711,144-8 St - NYU,410-Prince St,1.94,2.73
472,145-80 St,155-88 St,1.45,3.07
464,145-80 St,313-Grant Av,1.46,3.15
435,146-81 St - Museum of Natural History,134-72 St,1.5,3.45
435,146-81 St - Museum of Natural History,149-86 St,1.5,3.45
690,147-82 St - Jackson Hts,135-74 St - Broadway,1.01,1.46
668,147-82 St - Jackson Hts,158-90 St - Elmhurst Av,1.04,1.56
344,148-85 St - Forest Pkwy,137-75 St,1.5,4.36
7,148-85 St - Forest Pkwy,264-Cypress Hills,2.5,357.14
354,148-85 St - Forest Pkwy,469-Woodhaven Blvd,1.84,5.2
435,149-86 St,146-81 St - Museum of Natural History,1.5,3.45
435,149-86 St,159-96 St,1.5,3.45
355,15-121 St,442-Sutphin Blvd - Archer Av - JFK Airport,4,11.27
6,15-121 St,5-104 St,3,500
344,15-121 St,9-111 St,1.5,4.36
693,150-86 St,132-72 St,2.04,2.94
693,150-86 St,160-96 St,1.63,2.35
353,151-86 St,138-77 St,2.07,5.86
355,151-86 St,189-Bay Ridge - 95 St,2,5.63
576,152-86 St,141-79 St,1.03,1.79
581,152-86 St,161-96 St,1.84,3.17
376,153-86 St,181-Avenue U,1,2.66
371,153-86 St,255-Coney Island - Stillwell Av,4,10.78
691,154-86 St,118-59 St,4.05,5.86
605,154-86 St,139-77 St,1.81,2.99
694,154-86 St,16-125 St,5.22,7.52
602,154-86 St,162-96 St,2,3.32
464,155-88 St,145-80 St,1.49,3.21
472,155-88 St,422-Rockaway Blvd,1.45,3.07
368,156-9 Av,295-Fort Hamilton Pkwy,2.02,5.49
368,156-9 Av,93-36 St,4.01,10.9
501,157-9 St,413-Prospect Av,1.97,3.93
514,157-9 St,450-Union St,1.64,3.19
690,158-90 St - Elmhurst Av,147-82 St - Jackson Hts,1.02,1.48
668,158-90 St - Elmhurst Av,342-Junction Blvd,1.33,1.99
435,159-96 St,149-86 St,1.52,3.49
435,159-96 St,2-103 St,1.5,3.45
605,16-125 St,13-116 St,1.53,2.53
691,16-125 St,154-86 St,4.73,6.85
720,16-125 St,23-138 St - Grand Concourse,2.61,3.63
18,16-125 St,32-149 St - Grand Concourse,4.86,270
558,16-125 St,83-3 Av - 138 St,3.17,5.68
693,160-96 St,150-86 St,2,2.89
732,161-96 St,133-72 St,2.97,4.06
576,161-96 St,152-86 St,2,3.47
785,161-96 St,239-Central Park North (110 St),4.37,5.57
523,161-96 St,3-103 St,1.5,2.87
602,162-96 St,1-103 St,1.5,2.49
605,162-96 St,154-86 St,2.08,3.44
357,163-Alabama Av,220-Broadway Jct,2.74,7.68
5,163-Alabama Av,251-Cleveland St,2.5,500
355,163-Alabama Av,453-Van Siclen Av,1.49,4.2
436,164-Allerton Av,226-Burke Av,1.2,2.75
436,164-Allerton Av,405-Pelham Pkwy,2.03,4.66
232,166-Aqueduct - N Conduit Av,167-Aqueduct Racetrack,0.97,4.18
238,166-Aqueduct - N Conduit Av,326-Howard Beach - JFK Airport,2.07,8.7
232,167-Aqueduct Racetrack,422-Rockaway Blvd,3.09,13.32
605,169-Astor Pl,209-Bleecker St,1.45,2.4
602,169-Astor Pl,27-14 St - Union Sq,1.47,2.44
785,17-125 St,11-116 St,1.5,1.91
785,17-125 St,20-135 St,1.72,2.19
461,170-Astoria - Ditmars Blvd,171-Astoria Blvd,1.5,3.25
461,171-Astoria Blvd,170-Astoria - Ditmars Blvd,1.75,3.8
461,171-Astoria Blvd,85-30 Av,1.22,2.65
505,173-Atlantic Av,220-Broadway Jct,2.85,5.64
501,173-Atlantic Av,443-Sutter Av,1.5,2.99
528,174-Atlantic Av - Barclays Ctr,130-7 Av,2.32,4.39
822,174-Atlantic Av - Barclays Ctr,206-Bergen St,1.07,1.3
296,174-Atlantic Av - Barclays Ctr,229-Canal St,10.66,36.01
1041,174-Atlantic Av - Barclays Ctr,265-DeKalb Av,2.44,2.34
467,174-Atlantic Av - Barclays Ctr,296-Franklin Av,4.12,8.82
291,174-Atlantic Av - Barclays Ctr,312-Grand St,11.49,39.48
1289,174-Atlantic Av - Barclays Ctr,383-Nevins St,1.65,1.28
501,174-Atlantic Av - Barclays Ctr,450-Union St,2,3.99
599,174-Atlantic Av - Barclays Ctr,93-36 St,5.5,9.18
430,175-Avenue H,177-Avenue J,1.27,2.95
429,175-Avenue H,389-Newkirk Plaza,1.21,2.82
404,176-Avenue I,188-Bay Pkwy,1,2.48
404,176-Avenue I,51-18 Av,1.23,3.04
429,177-Avenue J,175-Avenue H,1.29,3.01
430,177-Avenue J,178-Avenue M,1.73,4.02
429,178-Avenue M,177-Avenue J,1.71,3.99
430,178-Avenue M,347-Kings Hwy,2.3,5.35
404,179-Avenue N,180-Avenue P,1.5,3.71
404,179-Avenue N,188-Bay Pkwy,1.55,3.84
698,18-125 St,119-59 St - Columbus Circle,8.04,11.52
435,18-125 St,12-116 St,1.5,3.45
437,18-125 St,21-135 St,1.78,4.07
328,18-125 St,28-145 St,3,9.15
368,18-125 St,30-145 St,4.61,12.53
404,180-Avenue P,179-Avenue N,1.5,3.71
404,180-Avenue P,345-Kings Hwy,5.35,13.24
376,181-Avenue U,153-86 St,2.3,6.12
376,181-Avenue U,346-Kings Hwy,1.53,4.07
366,182-Avenue U,184-Avenue X,5.99,16.37
372,182-Avenue U,345-Kings Hwy,2.16,5.81
429,183-Avenue U,347-Kings Hwy,2.3,5.36
430,183-Avenue U,380-Neck Rd,1,2.33
372,184-Avenue X,182-Avenue U,1.56,4.19
366,184-Avenue X,381-Neptune Av,2.02,5.52
368,185-Bay 50 St,255-Coney Island - Stillwell Av,4,10.87
368,185-Bay 50 St,77-25 Av,2.41,6.55
368,186-Bay Pkwy,61-20 Av,1.02,2.77
368,186-Bay Pkwy,77-25 Av,1.5,4.08
376,187-Bay Pkwy,346-Kings Hwy,2,5.32
376,187-Bay Pkwy,62-20 Av,1.5,3.99
404,188-Bay Pkwy,176-Avenue I,1,2.48
404,188-Bay Pkwy,179-Avenue N,2,4.95
353,189-Bay Ridge - 95 St,151-86 St,1.82,5.16
523,19-125 St,14-116 St - Columbia University,2.47,4.72
523,19-125 St,22-137 St - City College,2,3.82
353,190-Bay Ridge Av,117-59 St,2.36,6.69
355,190-Bay Ridge Av,138-77 St,1.39,3.92
351,192-Baychester Av,277-Eastchester - Dyre Av,2.43,6.92
354,192-Baychester Av,318-Gun Hill Rd,2.44,6.89
246,193-Beach 105 St,200-Beach 98 St,1.98,8.05
245,193-Beach 105 St,423-Rockaway Park - Beach 116 St,1.52,6.2
227,194-Beach 25 St,195-Beach 36 St,1.98,8.72
233,194-Beach 25 St,284-Far Rockaway - Mott Av,1.5,6.44
233,195-Beach 36 St,194-Beach 25 St,2,8.58
227,195-Beach 36 St,196-Beach 44 St,1.5,6.61
233,196-Beach 44 St,195-Beach 36 St,1.5,6.44
227,196-Beach 44 St,197-Beach 60 St,2.02,8.9
233,197-Beach 60 St,196-Beach 44 St,2,8.58
227,197-Beach 60 St,198-Beach 67 St,1.54,6.78
233,198-Beach 67 St,197-Beach 60 St,4.06,17.42
227,198-Beach 67 St,216-Broad Channel,4,17.62
245,199-Beach 90 St,200-Beach 98 St,1.5,6.12
246,199-Beach 90 St,216-Broad Channel,5.94,24.15
435,2-103 St,159-96 St,1.48,3.4
435,2-103 St,237-Cathedral Pkwy (110 St),1,2.3
785,20-135 St,17-125 St,1.65,2.1
361,20-135 St,29-145 St,3.27,9.06
424,20-135 St,32-149 St - Grand Concourse,3.34,7.88
245,200-Beach 98 St,193-Beach 105 St,1.01,4.12
246,200-Beach 98 St,199-Beach 90 St,1.52,6.18
406,201-Bedford - Nostrand Avs,250-Classon Av,1,2.46
404,201-Bedford - Nostrand Avs,375-Myrtle - Willoughby Avs,1.83,4.53
386,202-Bedford Av,0-1 Av,4,10.36
386,202-Bedford Av,362-Lorimer St,2.62,6.79
410,203-Bedford Park Blvd,349-Kingsbridge Rd,1.97,4.8
365,203-Bedford Park Blvd,391-Norwood - 205 St,2.5,6.85
451,204-Bedford Park Blvd - Lehman College,348-Kingsbridge Rd,2.15,4.77
434,204-Bedford Park Blvd - Lehman College,373-Mosholu Pkwy,1.69,3.89
2,205-Bergen St,128-7 Av,5,2500
809,205-Bergen St,234-Carroll St,1.59,1.97
404,205-Bergen St,327-Hoyt - Schermerhorn Sts,2.06,5.1
405,205-Bergen St,339-Jay St - MetroTech,2.49,6.15
788,206-Bergen St,174-Atlantic Av - Barclays Ctr,1.2,1.52
822,206-Bergen St,306-Grand Army Plaza,1.82,2.21
429,207-Beverley Rd,246-Church Av,1.5,3.5
430,207-Beverley Rd,256-Cortelyou Rd,0.78,1.81
528,208-Beverly Rd,247-Church Av,1.57,2.97
527,208-Beverly Rd,388-Newkirk Av,1.5,2.85
602,209-Bleecker St,169-Astor Pl,1.5,2.49
605,209-Bleecker St,435-Spring St,1.02,1.69
440,21-135 St,18-125 St,1.54,3.5
340,21-135 St,28-145 St,4.5,13.24
97,21-135 St,30-145 St,2.05,21.13
573,210-Borough Hall,213-Bowling Green,5.2,9.08
716,210-Borough Hall,249-Clark St,1.65,2.3
716,210-Borough Hall,328-Hoyt St,1.49,2.08
573,210-Borough Hall,383-Nevins St,2,3.49
330,211-Botanic Garden,399-Park Pl,2,6.06
330,211-Botanic Garden,414-Prospect Park,3,9.09
362,212-Bowery,231-Canal St,1.51,4.17
362,212-Bowery,282-Essex St,1.73,4.78
573,213-Bowling Green,210-Borough Hall,5.27,9.2
738,213-Bowling Green,462-Wall St,1.22,1.65
279,214-Briarwood - Van Wyck Blvd,337-Jamaica - Van Wyck,1.5,5.38
686,214-Briarwood - Van Wyck Blvd,344-Kew Gardens - Union Tpke,1.89,2.76
407,214-Briarwood - Van Wyck Blvd,441-Sutphin Blvd,1.38,3.39
430,215-Brighton Beach,396-Ocean Pkwy,2,4.65
527,215-Brighton Beach,428-Sheepshead Bay,2,3.8
233,216-Broad Channel,198-Beach 67 St,6.6,28.33
245,216-Broad Channel,199-Beach 90 St,4.04,16.49
232,216-Broad Channel,326-Howard Beach - JFK Airport,6.6,28.45
362,217-Broad St,303-Fulton St,1.56,4.31
406,218-Broadway,287-Flushing Av,1.22,3
404,218-Broadway,365-Metropolitan Av,1.39,3.44
461,219-Broadway,85-30 Av,1.75,3.8
461,219-Broadway,92-36 Av,2,4.34
523,22-137 St - City College,19-125 St,1.53,2.93
519,22-137 St - City College,31-145 St,1.5,2.89
360,220-Broadway Jct,163-Alabama Av,1.98,5.5
501,220-Broadway Jct,173-Atlantic Av,1.28,2.55
505,220-Broadway Jct,228-Bushwick Av - Aberdeen St,1,1.98
355,220-Broadway Jct,243-Chauncey St,1.49,4.2
329,220-Broadway Jct,283-Euclid Av,4.15,12.61
7,220-Broadway Jct,320-Halsey St,2.5,357.14
338,220-Broadway Jct,358-Liberty Av,2,5.92
337,220-Broadway Jct,421-Rockaway Av,1.01,3
330,220-Broadway Jct,451-Utica Av,3.48,10.55
367,221-Broadway-Lafayette St,282-Essex St,3.45,9.4
466,221-Broadway-Lafayette St,312-Grand St,2,4.29
1233,221-Broadway-Lafayette St,457-W 4 St,2.44,1.98
405,221-Broadway-Lafayette St,60-2 Av,1.5,3.7
436,222-Bronx Park East,275-E 180 St,2.03,4.66
436,222-Bronx Park East,405-Pelham Pkwy,2.15,4.93
491,223-Brook Av,263-Cypress Av,1,2.04
504,223-Brook Av,83-3 Av - 138 St,1.53,3.04
602,224-Brooklyn Bridge - City Hall,229-Canal St,2,3.32
694,224-Brooklyn Bridge - City Hall,27-14 St - Union Sq,4.79,6.9
738,224-Brooklyn Bridge - City Hall,303-Fulton St,1.7,2.3
455,225-Buhre Av,368-Middletown Rd,1.5,3.3
458,225-Buhre Av,404-Pelham Bay Park,2.5,5.46
436,226-Burke Av,164-Allerton Av,1.23,2.82
436,226-Burke Av,319-Gun Hill Rd,1.59,3.65
452,227-Burnside Av,49-176 St,1.52,3.36
438,227-Burnside Av,57-183 St,1.5,3.42
503,228-Bushwick Av - Aberdeen St,220-Broadway Jct,2.27,4.51
505,228-Bushwick Av - Aberdeen St,467-Wilson Av,1.5,2.97
303,229-Canal St,174-Atlantic Av - Barclays Ctr,11.41,37.66
605,229-Canal St,224-Brooklyn Bridge - City Hall,2,3.31
455,229-Canal St,248-City Hall,2.5,5.49
435,229-Canal St,265-DeKalb Av,8.11,18.64
483,229-Canal St,27-14 St - Union Sq,4.22,8.74
710,229-Canal St,410-Prince St,1.68,2.37
602,229-Canal St,435-Spring St,1.5,2.49
711,23-138 St - Grand Concourse,16-125 St,2.81,3.95
720,23-138 St - Grand Concourse,32-149 St - Grand Concourse,2.81,3.9
576,230-Canal St,298-Franklin St,1,1.74
581,230-Canal St,325-Houston St,1.6,2.75
362,231-Canal St,212-Bowery,2.01,5.55
362,231-Canal St,242-Chambers St,1.51,4.17
667,232-Canal St,241-Chambers St,2,3
752,232-Canal St,434-Spring St,1.5,1.99
330,232-Canal St,457-W 4 St,2.51,7.61
415,232-Canal St,473-World Trade Center,2,4.82
483,233-Canarsie - Rockaway Pkwy,272-E 105 St,1.62,3.35
807,234-Carroll St,205-Bergen St,1.51,1.87
809,234-Carroll St,431-Smith - 9 Sts,1.74,2.15
455,235-Castle Hill Av,401-Parkchester,2,4.4
458,235-Castle Hill Av,475-Zerega Av,1,2.18
523,236-Cathedral Pkwy,14-116 St - Columbia University,1,1.91
523,236-Cathedral Pkwy,3-103 St,1.03,1.97
435,237-Cathedral Pkwy (110 St),12-116 St,1.5,3.45
435,237-Cathedral Pkwy (110 St),2-103 St,1.02,2.34
419,238-Central Av,352-Knickerbocker Av,1.63,3.89
415,238-Central Av,377-Myrtle Av,2.23,5.37
785,239-Central Park North (110 St),11-116 St,1,1.27
785,239-Central Park North (110 St),161-96 St,4.45,5.67
663,24-14 St,240-Chambers St,4.59,6.92
576,24-14 St,244-Christopher St - Sheridan Sq,1.5,2.6
581,24-14 St,53-18 St,1,1.72
658,24-14 St,90-34 St - Penn Station,2.8,4.26
658,240-Chambers St,24-14 St,4.67,7.1
